,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
NBFCIN0001344,Q1,FY21,Microfinance,NBFC,Microfinance Loan,34560,12672,39,648488,N,M
NBFCIN0001296,Q1,FY20,Microfinance,NBFC,Microfinance Loan,36380,9193,23,746350,Y,M
NBFCIN0002404,Q1,FY20,Microfinance,NBFC,Microfinance Loan,38880,10400,44,743158,Y,M
NBFCIN0001390,Q1,FY19,Microfinance,NBFC,Microfinance Loan,37740,11481,51,760021,Y,F
NBFCIN0001567,Q1,FY20,Microfinance,NBFC,Microfinance Loan,46440,16103,53,691932,Y,M
NBFCIN0002289,Q1,FY19,Microfinance,NBFC,Microfinance Loan,49220,17204,31,581847,Y,F
NBFCIN000147H,Q1,FY19,Microfinance,NBFC,Microfinance Loan,49350,13554,28,504468,N,M
NBFCIN0001641,Q1,FY19,Microfinance,NBFC,Microfinance Loan,53560,17856,57,898416,Y,M
NBFCIN0002361,Q1,FY21,Microfinance,NBFC,Microfinance Loan,54060,14882,42,632840,N,F
NBFCIN000231,Q1,FY19,Microfinance,NBFC,Microfinance Loan,58300,17655,32,902895,N,F
NBFCIN000875S,Q1,FY19,Microfinance,NBFC,Microfinance Loan,58300,20592,23,1014632,N,F
NBFCIN0001516,Q1,FY20,Microfinance,NBFC,Microfinance Loan,60990,18297,29,1074416,Y,F
NBFCIN000962,Q1,FY20,Microfinance,NBFC,Microfinance Loan,81600,27904,49,762200,N,M
NBFCIN0002481,Q1,FY20,Microfinance,NBFC,Microfinance Loan,102010,33289,31,544844,N,M
NBFCIN0001760,Q1,FY20,Microfinance,NBFC,Microfinance Loan,117300,41365,31,973968,N,M
NBFCIN0001826,Q1,FY20,Microfinance,NBFC,Microfinance Loan,119180,34904,52,335370,N,M
PVT00MICROV2430,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,7140,3234,45,759330,Y,M
PVT00MICROV311,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,9090,4179,52,554964,N,M
PVT00MICROV190,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,14170,6338,48,588194,N,F
PVT00MICROV592,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,16050,7344,28,813560,Y,F
PVT00MICROV1974,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,18360,7072,44,878800,N,F
PVT00MICROV392,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,18900,7896,43,479709,N,M
PVT00MICROV156,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,21800,7770,26,864863,Y,F
PVT00MICROV2333,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,27500,10710,49,636688,N,M
PVT00MICROV359,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,25750,8640,33,938925,Y,M
PVT00MICROV800,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,28340,11154,36,444906,Y,M
PVT00MICROV435,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,35700,17850,57,489840,Y,F
PVT00MICROV1408,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37800,13090,28,405099,N,F
PVT00MICROV309,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37800,17136,59,944810,N,F
PVT00MICROV812,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,36050,18144,35,890113,N,M
PVT00MICROV1082,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,38880,13068,36,396474,N,F
PVT00MICROV2296,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,37080,17028,39,825990,N,M
PVT00MICROV2368,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37080,17258,41,731830,Y,M
PVT00MICROV619,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,36720,15724,37,717570,N,M
PVT00MICROV191,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,40700,14511,49,1070499,N,M
PVT00MICROV64,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,40700,19217,41,559674,Y,M
PVT00MICROV828,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,38760,12403,53,697809,N,M
PVT00MICROV1813,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,44000,18920,37,1729750,Y,F
PVT00MICROV2091,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,41820,19040,41,1206712,Y,M
PVT00MICROV856,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,56160,18144,55,1087905,Y,M
PVT00MICROV99,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,61480,26685,27,1053208,N,M
PVT00MICROV1005,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,69010,25714,53,683445,Y,F
PVT00MICROV1126,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,80660,32560,48,1594028,N,F
PVT00MICROV386,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,84700,35250,48,269448,Y,M
PVT00MICROV2407,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,79560,25958,34,1674432,Y,F
PVT00MICROV1984,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,82620,29484,35,2077322,Y,F
PVT00MICROV451,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,86920,42508,50,797784,N,F
PSUIN30038MICRO0119334,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,1090,441,50,366336,N,M
PSUIN300129MICRO012526,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,6180,2583,30,399672,Y,F
PSUIN300417MICRO0131208,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,9450,3496,44,366768,N,M
PSUIN30031MICRO017297,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,16480,7833,36,387340,Y,M
PSUIN30092MICRO0131165,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,17340,8976,49,393653,N,M
PSUIN30039MICRO0129599,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,19380,9264,38,421888,Y,M
PSUIN300352MICRO0137901,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,27250,10352,54,479544,N,M
PSUIN300246MICRO0128777,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,27250,10660,37,439452,N,F
PSUIN300430MICRO0119195,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,25750,11440,54,246788,N,M
PSUIN300121MICRO0120137,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,26780,14170,33,427604,Y,F
PSUIN300242MICRO0129714,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26260,11668,35,274584,Y,M
PSUIN300336MICRO012698,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,27040,10101,56,233820,N,M
PSUIN300130MICRO0128084,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,27560,9734,42,507210,N,M
PSUIN300406MICRO0145857,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26780,11850,37,459217,N,M
PSUIN300213MICRO01513,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,27540,10789,46,311584,N,M
PSUIN30019MICRO01216,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,34880,11750,64,401940,Y,F
PSUIN300451MICRO0127974,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,36300,14206,29,329866,N,F
PSUIN300125MICRO0110670,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,34340,14851,30,345060,N,F
PSUIN300354MICRO0143454,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,36720,14565,61,406438,N,F
PSUIN300350MICRO0125880,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,36050,16583,36,466854,Y,M
PSUIN300183MICRO0133897,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,37450,12852,52,377466,Y,F
PSUIN300107MICRO0149619,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,37100,16222,59,326040,N,M
PSUIN300402MICRO0147725,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,38150,15288,31,332690,N,M
PSUIN300135MICRO0124110,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,38500,16404,44,446256,N,M
PSUIN300482MICRO0126756,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,38110,16069,29,279552,N,M
PSUIN300215MICRO0123935,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,38760,18392,50,359128,Y,M
PSUIN300479MICRO0139911,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,40280,16758,48,287042,N,M
PSUIN300134MICRO0122820,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,40800,15352,59,315774,Y,M
PSUIN300254MICRO0121923,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,44280,19188,30,346302,Y,F
PSUIN30022MICRO0126148,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,42840,19866,28,475551,Y,M
PSUIN30074MICRO0143247,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,43260,14993,50,309096,N,M
PSUIN300494MICRO0136341,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,45360,16317,41,357193,N,M
PSUIN300347MICRO0115484,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,54570,20287,43,344182,N,M
PSUIN300180MICRO012810,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,54060,20219,49,345289,N,F
PSUIN300339MICRO0123314,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,60500,24486,36,366428,N,M
PSUIN300498MICRO0137756,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,56100,23903,49,330304,Y,M
PSUIN300290MICRO0110662,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,57570,25473,31,345730,N,F
PSUIN30026MICRO0117869,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,63800,24203,51,292536,N,M
PSUIN30031MICRO0127085,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,63220,26883,44,488145,N,M
PSUIN300467MICRO019486,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,59590,22644,26,291060,N,M
PSUIN300129MICRO014876,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,68040,30901,43,367290,N,F
PSUIN300133MICRO0135237,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,68670,26289,35,312060,N,M
PSUIN300222MICRO0128963,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,65280,25459,30,360360,Y,M
PSUIN300191MICRO0130009,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,66560,28761,55,313650,N,M
PSUIN300296MICRO0111980,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,78440,32138,56,403832,N,M
PSUIN300273MICRO0116111,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,76760,34542,38,246528,Y,M
PSUIN300349MICRO0128109,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,81900,28360,44,338208,Y,F
PSUIN30049MICRO0118298,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,96820,37214,52,410024,Y,M
PSUIN300139MICRO017379,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,95950,46170,55,373478,N,M
PSUIN30023MICRO0112061,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,112360,38541,41,1515800,N,F
PSUIN300403MICRO0138246,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,116600,45633,56,1259280,Y,M
PSUIN30096MICRO013607,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,121980,52451,59,1381680,Y,M
PSUIN300326MICRO0122629,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,119180,52533,52,1093860,N,M
NBFCIN301AUTOCV20207,Q1,FY19,Retail,NBFC,Auto Loans,156456,46494,32,2014740,N,M
NBFCIN301AUTO20107,Q1,FY21,Retail,NBFC,Auto Loans,249186,35570,36,2589580,N,F
NBFCIN1612AUTO35553A,Q1,FY20,Retail,NBFC,Auto Loans,280800,93636,48,1134000,N,M
NBFCIN201AAUTO20107,Q1,FY21,Retail,NBFC,Auto Loans,110117,113355,36,1223164,N,M
IC00213AUL11294,Q1,FY19,Retail,PVT Bank,Auto Loans,394169,372669,56,5858793,N,M
PSUNAUTO263LOA46763,Q1,FY20,Retail,PSU Bank,Auto Loans,254204,108271,29,2904836,N,F
PSUNAUTO489LOA24271,Q1,FY19,Retail,PSU Bank,Auto Loans,335735,189492,49,3456096,N,M
PVTN29CCL10461,Q1,FY21,Retail,PVT Bank,Credit Card,39096,20308,41,329025,N,F
PSUN89CC11836,Q1,FY20,Retail,PSU Bank,Credit Card,24192,12689,55,380173,N,M
PVTN76CCL8842,Q1,FY20,Retail,PVT Bank,Credit Card,21522,7245,56,414807,N,M
PVTN81CCL10483,Q1,FY20,Retail,PVT Bank,Credit Card,35298,19600,48,456940,N,M
PVTN31CCL9013,Q1,FY19,Retail,PVT Bank,Credit Card,40657,23588,33,475970,N,F
PVTN47CCL950,Q1,FY19,Retail,PVT Bank,Credit Card,21935,5637,53,467142,Y,M
PVTN69CCL165,Q1,FY21,Retail,PVT Bank,Credit Card,23544,9842,44,489628,Y,M
PVTN86CCL6938,Q1,FY19,Retail,PVT Bank,Credit Card,33899,14763,60,476619,N,M
PSUN14CC11718,Q1,FY20,Retail,PSU Bank,Credit Card,11220,3225,42,569454,N,M
PSUN23CC7009,Q1,FY21,Retail,PSU Bank,Credit Card,21513,14224,30,694995,N,F
PVTN40CCL8541,Q1,FY19,Retail,PVT Bank,Credit Card,12726,5191,30,699712,N,M
NBFCINCC30009763,Q1,FY19,Retail,NBFC,Credit Card,43248,25185,35,736949,N,F
PSUN22CC9441,Q1,FY19,Retail,PSU Bank,Credit Card,33180,17234,36,719249,N,M
NBFCINCC30008539,Q1,FY19,Retail,NBFC,Credit Card,19581,8564,46,808390,Y,F
NBFCINCC30003164,Q1,FY20,Retail,NBFC,Credit Card,13750,6168,39,808940,N,F
PVTN69CCL8727,Q1,FY20,Retail,PVT Bank,Credit Card,27615,17563,35,771161,N,F
NBFCINCC30007378,Q1,FY21,Retail,NBFC,Credit Card,33150,21498,42,841720,N,M
NBFCINCC30004825,Q1,FY19,Retail,NBFC,Credit Card,32033,16647,55,841860,Y,F
PVTN92CCL3385,Q1,FY20,Retail,PVT Bank,Credit Card,37536,16773,43,834644,N,M
PVTN64CCL5018,Q1,FY20,Retail,PVT Bank,Credit Card,40273,26685,50,867888,N,F
NBFCINCC300010805,Q1,FY19,Retail,NBFC,Credit Card,31968,12076,32,835433,Y,M
NBFCINCC30001392,Q1,FY20,Retail,NBFC,Credit Card,36920,16819,29,916080,N,F
PSUN50CC2867,Q1,FY20,Retail,PSU Bank,Credit Card,29044,11458,55,939290,Y,M
PVTN22CCL4849,Q1,FY21,Retail,PVT Bank,Credit Card,9999,6567,29,863752,Y,M
PVTN97CCL1381,Q1,FY21,Retail,PVT Bank,Credit Card,41370,21090,51,907200,N,M
NBFCINCC30002069,Q1,FY19,Retail,NBFC,Credit Card,25688,9336,28,936144,N,M
PVTN54CCL8390,Q1,FY20,Retail,PVT Bank,Credit Card,35844,18792,50,927206,Y,F
PVTN12CCL3570,Q1,FY21,Retail,PVT Bank,Credit Card,20492,10964,48,956862,N,M
PVTN30CCL6667,Q1,FY20,Retail,PVT Bank,Credit Card,32968,8986,55,992736,N,M
PSUN68CC4636,Q1,FY19,Retail,PSU Bank,Credit Card,19344,10946,37,1000080,N,M
PVTN48CCL3172,Q1,FY20,Retail,PVT Bank,Credit Card,34775,19266,44,1003838,N,M
NBFCINCC30002969,Q1,FY20,Retail,NBFC,Credit Card,29425,12993,56,1035459,N,F
PVTN56CCL1841,Q1,FY21,Retail,PVT Bank,Credit Card,29886,15675,39,1110060,N,M
PVTN57CCL2946,Q1,FY19,Retail,PVT Bank,Credit Card,39794,10047,37,1105849,Y,M
PSUN61CC2716,Q1,FY21,Retail,PSU Bank,Credit Card,24139,13286,39,1231677,Y,M
NBFCINCC30004693,Q1,FY21,Retail,NBFC,Credit Card,21527,6965,56,1307070,N,F
PVTN76CCL12301,Q1,FY19,Retail,PVT Bank,Credit Card,46659,16928,27,1481528,Y,F
NBFCIN060TWL13O,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,5450,3622,57,1021230,Y,M
NBFCIN060TWL23,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,12100,7112,48,1833380,N,F
NBFCIN060TWL35,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,11440,7436,38,440640,N,F
NBFCIN060TWL42,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,29580,19105,50,767228,N,M
NBFCIN162TWL3880,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,18020,10550,58,734169,N,M
NBFCIN145TWL10111,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,18360,10180,51,657180,N,F
NBFCIN329TWL5761,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,26500,14987,43,825291,N,M
NBFCIN252TWL826,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,31930,21030,30,800830,Y,M
NBFCIN300TWL577,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,45100,26088,52,912221,Y,M
IC0700TWL635,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,50470,36176,31,947752,Y,M
IC0700TWL76,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,31200,22890,49,647904,N,F
PVTN318TWL4524,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,43430,30856,37,797092,N,F
PVTN48TWL8361,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,40660,23028,37,164535,N,F
PVTN454TWL1147,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,36360,22132,34,990216,Y,M
PVTN441TWL10842,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,46200,29040,41,267813,Y,F
PVTN202TWL10315,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,56160,37492,56,1230705,N,M
PVTN120TWL3742,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,95230,26967,42,1194588,N,M
PVTN210TWL8039,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,40400,13568,31,547723,N,M
PVTN335TWL7168,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,38850,12698,30,567315,Y,M
PVTN340TWL7109,Q1,FY21,Retail,PVT Bank,Two-Wheeler Loan,51360,16435,53,287370,Y,M
PVTN352TWL317,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,26400,10176,45,249948,N,F
PVTN411TWL1970,Q1,FY21,Retail,PVT Bank,Two-Wheeler Loan,43050,14218,48,450636,Y,F
PVTN45TWL5558,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,62540,20638,48,844337,Y,M
PVTN51TWL9984,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,124950,37258,31,1068716,Y,F
NBFCIN000COML690,Q2,FY19,Commercial,NBFC,Commercial Loan,10930320,3607720,29,4219425,N,M
PVT00COM142,Q2,FY19,Commercial,PVT Bank,Commercial Loan,8680760,2170190,55,3225420,N,M
PVT00COM183,Q2,FY20,Commercial,PVT Bank,Commercial Loan,9294720,3248640,38,4782720,Y,M
PVT00COM44,Q2,FY19,Commercial,PVT Bank,Commercial Loan,22363000,4221800,29,8151000,Y,M
PVT00COM54,Q2,FY20,Commercial,PVT Bank,Commercial Loan,5116800,2558400,44,1992600,Y,M
NBFCIN0001762,Q2,FY21,Microfinance,NBFC,Microfinance Loan,7700,2226,52,931221,Y,F
NBFCIN0001013,Q2,FY21,Microfinance,NBFC,Microfinance Loan,15450,5610,41,689173,N,M
NBFCIN0002052T,Q2,FY20,Microfinance,NBFC,Microfinance Loan,16350,5406,36,501400,N,F
NBFCIN0001142,Q2,FY21,Microfinance,NBFC,Microfinance Loan,16480,5427,63,839007,N,M
NBFCIN0002052,Q2,FY19,Microfinance,NBFC,Microfinance Loan,17280,4320,56,709410,N,F
NBFCIN000264,Q2,FY20,Microfinance,NBFC,Microfinance Loan,17120,5649,49,628668,Y,M
NBFCIN000187,Q2,FY20,Microfinance,NBFC,Microfinance Loan,18540,6336,36,596530,Y,M
NBFCIN000433,Q2,FY20,Microfinance,NBFC,Microfinance Loan,24840,7203,22,700208,N,M
NBFCIN0002116,Q2,FY19,Microfinance,NBFC,Microfinance Loan,24720,6302,45,878800,N,F
NBFCIN000680,Q2,FY20,Microfinance,NBFC,Microfinance Loan,26750,7650,28,666824,Y,M
NBFCIN0002064O,Q2,FY20,Microfinance,NBFC,Microfinance Loan,27820,9282,41,1088880,N,M
NBFCIN000212,Q2,FY20,Microfinance,NBFC,Microfinance Loan,27300,8923,33,463260,Y,M
NBFCIN00021,Q2,FY19,Microfinance,NBFC,Microfinance Loan,28840,7635,35,273210,Y,M
NBFCIN000582,Q2,FY19,Microfinance,NBFC,Microfinance Loan,32640,9587,33,696960,Y,M
NBFCIN0002235,Q2,FY19,Microfinance,NBFC,Microfinance Loan,33330,10946,52,671895,Y,M
NBFCIN0002241,Q2,FY19,Microfinance,NBFC,Microfinance Loan,34320,9979,38,683975,N,M
NBFCIN0001287,Q2,FY19,Microfinance,NBFC,Microfinance Loan,36720,9547,52,844926,Y,F
NBFCIN000576,Q2,FY21,Microfinance,NBFC,Microfinance Loan,37400,10091,46,208488,N,M
NBFCIN00084,Q2,FY20,Microfinance,NBFC,Microfinance Loan,36040,13219,43,428584,N,M
NBFCIN0002202,Q2,FY20,Microfinance,NBFC,Microfinance Loan,36050,12376,41,856900,Y,M
NBFCIN0002252,Q2,FY19,Microfinance,NBFC,Microfinance Loan,37450,11424,31,241890,N,M
NBFCIN000797,Q2,FY21,Microfinance,NBFC,Microfinance Loan,36050,12733,46,1215948,Y,M
NBFCIN000802,Q2,FY19,Microfinance,NBFC,Microfinance Loan,38150,10353,30,248026,Y,F
NBFCIN0001413,Q2,FY21,Microfinance,NBFC,Microfinance Loan,40700,11266,30,1264086,Y,F
NBFCIN000518,Q2,FY20,Microfinance,NBFC,Microfinance Loan,46460,15603,48,921988,Y,M
NBFCIN0002270,Q2,FY20,Microfinance,NBFC,Microfinance Loan,50290,15369,46,712858,Y,M
NBFCIN000848,Q2,FY20,Microfinance,NBFC,Microfinance Loan,53900,13249,27,1089180,Y,M
NBFCIN000854,Q2,FY20,Microfinance,NBFC,Microfinance Loan,53560,15683,41,926424,N,M
NBFCIN0002258,Q2,FY21,Microfinance,NBFC,Microfinance Loan,59280,19186,28,760512,N,F
NBFCIN0002417,Q2,FY21,Microfinance,NBFC,Microfinance Loan,62130,20725,35,711900,Y,F
NBFCIN000277,Q2,FY19,Microfinance,NBFC,Microfinance Loan,75260,23898,26,1075794,N,M
NBFCIN0001100,Q2,FY21,Microfinance,NBFC,Microfinance Loan,86400,26928,34,1075984,Y,M
NBFCIN0001098,Q2,FY21,Microfinance,NBFC,Microfinance Loan,85050,25515,34,790931,N,M
NBFCIN000425,Q2,FY21,Microfinance,NBFC,Microfinance Loan,87870,32886,43,632944,Y,M
NBFCIN000400,Q2,FY20,Microfinance,NBFC,Microfinance Loan,92400,25898,37,444502,N,M
NBFCIN000998S,Q2,FY21,Microfinance,NBFC,Microfinance Loan,95550,34070,48,500683,Y,M
NBFCIN000323,Q2,FY21,Microfinance,NBFC,Microfinance Loan,100700,29925,37,825120,Y,F
NBFCIN000401,Q2,FY21,Microfinance,NBFC,Microfinance Loan,99910,30671,27,520366,N,M
NBFCIN000411W,Q2,FY21,Microfinance,NBFC,Microfinance Loan,109080,30844,43,1024525,Y,F
NBFCIN000489,Q2,FY19,Microfinance,NBFC,Microfinance Loan,123760,38913,27,269535,N,M
NBFCIN000283,Q2,FY19,Microfinance,NBFC,Microfinance Loan,126250,42400,55,442170,N,M
PVT00MICROV635,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,5250,1712,50,819910,Y,M
PVT00MICROV1351,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,7350,2352,56,570690,N,M
PVT00MICROV2320,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,7420,2686,57,703605,Y,M
PVT00MICROV2194,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,16200,5617,49,848403,Y,M
PVT00MICROV503,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,15750,6426,26,795192,N,F
PVT00MICROV1310,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,17120,7190,48,495550,Y,M
PVT00MICROV1524,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,16960,7433,38,664545,N,F
PVT00MICROV2100,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,16320,7820,52,927904,N,M
PVT00MICROV254,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,17440,6104,26,1314040,N,M
PVT00MICROV750,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,17600,8310,31,1109838,Y,F
PVT00MICROV154,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,18020,6478,56,850408,N,F
PVT00MICROV582,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,17510,6895,60,550341,Y,M
PVT00MICROV1845,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,18900,6609,31,1073260,Y,M
PVT00MICROV352,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,19260,9613,32,675688,N,M
